,Description,Date,Month,Year,Shooting,Local,Latitude,Longitude,zipcode
1210,InvProp,10/21/2012,10,2012,No,No,42.29123245,-71.05447068,02122
1211,OTHER LARCENY,9/9/2012,9,2012,No,No,42.34749635,-71.13686954,02134
1212,PropLost,11/11/2012,11,2012,No,No,42.37797634,-71.06419456,02129
1213,LARCENY FROM MOTOR VEHICLE,9/4/2012,9,2012,No,No,42.38023134,-71.07110955,02129
1214,AUTO THEFT,9/4/2012,9,2012,No,No,42.37962134,-71.06928955,02129
1215,MedAssist,11/5/2012,11,2012,No,No,42.27587636,-71.11965455,02131
1216,InvProp,11/9/2012,11,2012,No,No,42.34422635,-71.14380953,02135
1217,LARCENY FROM MOTOR VEHICLE,8/30/2012,8,2012,No,No,42.33581135,-71.02505958,02127
1218,VAL,10/7/2012,10,2012,No,No,42.33029635,-71.08014455,02119
1219,Service,8/21/2012,8,2012,No,No,42.34470431,-71.02941573,02210
1220,PersMiss,11/20/2012,11,2012,No,No,42.30628121,-71.08456367,02121
1221,InvProp,9/17/2012,9,2012,No,No,42.29008683,-71.12195463,02131
1222,Argue,12/15/2012,12,2012,No,No,42.29035637,-71.06139457,02124
1223,PersMiss,7/21/2012,7,2012,No,No,42.3325566,-71.11109868,02115
1224,MedAssist,10/19/2012,10,2012,No,No,42.34487135,-71.10097955,02215
1225,SIMPLE ASSAULT,10/3/2012,10,2012,No,No,42.37923777,-71.07225783,02129
1226,VAL,11/15/2012,11,2012,No,No,42.33196135,-71.08169956,02119
1227,MedAssist,10/6/2012,10,2012,No,No,42.31702635,-71.09459955,02119
1228,PubDrink,10/4/2012,10,2012,No,No,42.37271134,-71.04049957,02128
1229,DRUG CHARGES,9/9/2012,9,2012,No,No,42.33189635,-71.09955955,02120
1230,VANDALISM,11/29/2012,11,2012,No,No,42.32114205,-71.09089327,02119
1231,MVAcc,8/5/2012,8,2012,No,No,42.33043135,-71.11141955,02130
1232,LARCENY FROM MOTOR VEHICLE,8/8/2012,8,2012,No,No,42.35926634,-71.05553956,02109
1233,SexReg,12/14/2012,12,2012,No,No,42.3286598,-71.08561842,02119
1234,MedAssist,9/26/2012,9,2012,No,No,42.27769636,-71.12439954,02131
1235,DRUG CHARGES,11/21/2012,11,2012,No,No,42.29909136,-71.07459956,02121
1236,OTHER LARCENY,12/14/2012,12,2012,No,No,42.33604989,-71.1078052,02115
1237,VANDALISM,10/11/2012,10,2012,No,No,42.32165635,-71.05634456,02125
1238,SIMPLE ASSAULT,8/11/2012,8,2012,No,No,42.29388755,-71.08451125,02124
1239,InvPer,11/18/2012,11,2012,No,No,42.34345685,-71.0839464,02115
1240,SIMPLE ASSAULT,11/21/2012,11,2012,No,No,42.32183056,-71.05926506,02125
1241,LARCENY FROM MOTOR VEHICLE,10/30/2012,10,2012,No,No,42.35392635,-71.07802456,02116
1242,VANDALISM,10/21/2012,10,2012,No,No,42.27972134,-71.050176,02124
1243,TOWED,11/4/2012,11,2012,No,No,42.28781286,-71.10929662,02131
1244,InvProp,11/27/2012,11,2012,No,No,42.28590136,-71.06374957,02124
1245,RESIDENTIAL BURGLARY,12/8/2012,12,2012,No,No,42.29570782,-71.07321371,02124
1246,AUTO THEFT,8/15/2012,8,2012,No,No,42.34278135,-71.08639955,02115
1247,MVAcc,7/24/2012,7,2012,No,No,42.29120136,-71.14445953,02132
1248,PropFound,10/17/2012,10,2012,No,No,42.33286635,-71.04414457,02127
1249,VAL,8/20/2012,8,2012,No,No,42.25143137,-71.11570955,02136
1250,InvProp,7/14/2012,7,2012,No,No,42.33696135,-71.05500956,02127
1251,PropFound,10/15/2012,10,2012,No,No,42.37394634,-71.06018456,02129
1252,PersLoc,8/13/2012,8,2012,No,No,42.31400135,-71.09424455,02119
1253,InvProp,10/30/2012,10,2012,No,No,42.37014134,-71.03473957,02128
1254,OPERATING UNDER INFLUENCE,11/25/2012,11,2012,No,No,42.36164815,-71.05998657,02203
1255,MedAssist,11/10/2012,11,2012,No,No,42.32000733,-71.0591838,02125
1256,OTHER LARCENY,11/11/2012,11,2012,No,No,42.35602134,-71.06174456,02108
1257,AUTO THEFT,11/28/2012,11,2012,No,No,42.33731631,-71.04853066,02127
1258,VANDALISM,10/19/2012,10,2012,No,No,42.35823137,-71.05792977,02201
1259,MVAcc,9/4/2012,9,2012,No,No,42.32761135,-71.07285956,02119
1260,OTHER LARCENY,9/7/2012,9,2012,No,No,42.29272898,-71.16987924,02132
1261,InvPer,8/9/2012,8,2012,No,No,42.32422656,-71.07757817,02119
1262,PersLoc,10/19/2012,10,2012,No,No,42.29692135,-71.08063956,02121
1263,TOWED,12/7/2012,12,2012,No,No,42.33457635,-71.03536457,02127
1264,InvPer,12/3/2012,12,2012,No,No,42.3286598,-71.08561842,02119
1265,Argue,7/30/2012,7,2012,No,No,42.25849636,-71.16056453,02108
1266,Arrest,9/5/2012,9,2012,No,No,42.2896922,-71.12255813,02131
1267,MVAcc,11/7/2012,11,2012,No,No,42.29481136,-71.13044954,02131
1268,RESIDENTIAL BURGLARY,10/30/2012,10,2012,No,No,42.29680554,-71.08597831,02124
1269,RESIDENTIAL BURGLARY,8/13/2012,8,2012,No,No,42.34485135,-71.14005453,02135
1270,VANDALISM,10/31/2012,10,2012,No,No,42.32281635,-71.10085955,02130
1271,OTHER LARCENY,8/23/2012,8,2012,No,No,42.35388134,-71.05831456,02110
1272,AGGRAVATED ASSAULT,11/7/2012,11,2012,No,No,42.33599135,-71.07765956,02118
1273,Service,10/25/2012,10,2012,No,No,42.35119135,-71.05986957,02111
1274,DRUG CHARGES,9/17/2012,9,2012,No,No,42.33245635,-71.08248455,02119
1275,MedAssist,12/15/2012,12,2012,No,No,42.32114205,-71.09089327,02119
1276,RESIDENTIAL BURGLARY,10/11/2012,10,2012,No,No,42.26845224,-71.11940924,02199
1277,DRUG CHARGES,8/10/2012,8,2012,No,No,42.3286598,-71.08561842,02119
1278,DRUG CHARGES,9/13/2012,9,2012,No,No,42.28555136,-71.06488456,02124
1279,VAL,10/22/2012,10,2012,No,No,42.29409665,-71.13632499,02131
1280,DRUG CHARGES,9/25/2012,9,2012,No,No,42.28576136,-71.06427957,02124
1281,LARCENY FROM MOTOR VEHICLE,8/23/2012,8,2012,No,No,42.34521135,-71.09532955,02215
1282,PropFound,8/17/2012,8,2012,No,No,42.36292967,-71.05253328,02109
1283,SIMPLE ASSAULT,12/7/2012,12,2012,No,No,42.30089405,-71.07427992,02121
1284,PRISON,12/18/2012,12,2012,No,No,42.36009134,-71.05581956,02109
1285,PropFound,10/10/2012,10,2012,No,No,42.34264591,-71.1511969,02135
1286,LARCENY FROM MOTOR VEHICLE,12/8/2012,12,2012,No,No,42.34962635,-71.09394455,02215
1287,LARCENY FROM MOTOR VEHICLE,11/14/2012,11,2012,No,No,42.3574253,-71.12905327,02134
1288,ROBBERY,11/13/2012,11,2012,No,No,42.34432135,-71.06699956,02118
1289,OTHER LARCENY,7/15/2012,7,2012,No,No,42.32540686,-71.0880266,02119
1290,OTHER LARCENY,8/18/2012,8,2012,No,No,42.34941634,-71.07973955,02116
1291,InvProp,10/29/2012,10,2012,No,No,42.27163706,-71.10163436,02126
1292,ROBBERY,11/3/2012,11,2012,No,No,42.35324634,-71.06101456,02111
1293,VAL,7/10/2012,7,2012,No,No,42.25735137,-71.15615954,02132
1294,VAL,12/26/2012,12,2012,No,No,42.32136135,-71.06579957,02125
1295,PersMiss,7/23/2012,7,2012,No,No,42.32792506,-71.07770104,02119
1296,TOWED,7/18/2012,7,2012,No,No,42.33742635,-71.02871457,02127
1297,Argue,8/18/2012,8,2012,No,No,42.29008683,-71.12195463,02131
1298,VAL,12/23/2012,12,2012,No,No,42.29762984,-71.04940078,02122
1299,MedAssist,12/12/2012,12,2012,No,No,42.33731135,-71.03646457,02127
1300,VANDALISM,8/23/2012,8,2012,No,No,42.34373135,-71.10089955,02215
1301,PersLoc,8/13/2012,8,2012,No,No,42.26091136,-71.11455955,02136
1302,VANDALISM,11/26/2012,11,2012,No,No,42.28790136,-71.12459453,02131
1303,LARCENY FROM MOTOR VEHICLE,7/14/2012,7,2012,No,No,42.32723569,-71.08059616,02119
1304,AGGRAVATED ASSAULT,10/9/2012,10,2012,No,No,42.32853937,-71.0991071,02120
1305,SIMPLE ASSAULT,11/19/2012,11,2012,No,No,42.33445703,-71.08651662,02120
1306,OTHER LARCENY,12/25/2012,12,2012,No,No,42.37036134,-71.03144457,02128
1307,AGGRAVATED ASSAULT,8/12/2012,8,2012,No,No,42.36177634,-71.05705456,02108
1308,OTHER LARCENY,12/11/2012,12,2012,No,No,42.32543556,-71.06387302,02125
1309,VANDALISM,12/12/2012,12,2012,No,No,42.36442134,-71.05726957,02113
1310,PropLost,12/6/2012,12,2012,No,No,42.28525136,-71.06442956,02124
1311,TOWED,11/29/2012,11,2012,No,No,42.31702463,-71.10602792,02130
1312,PropFound,11/29/2012,11,2012,No,No,42.31382135,-71.09571455,02119
1313,VANDALISM,8/15/2012,8,2012,No,No,42.35499132,-71.12888958,02134
1314,VANDALISM,10/25/2012,10,2012,No,No,42.32886294,-71.09657444,02119
1315,MVAcc,8/5/2012,8,2012,No,No,42.32363135,-71.06016957,02125
1316,MVAcc,8/11/2012,8,2012,No,No,42.32859135,-71.08274956,02119
1317,PropLost,9/24/2012,9,2012,No,No,42.34949135,-71.07947956,02116
1318,DRUG CHARGES,12/20/2012,12,2012,No,No,42.36194135,-71.13583954,02134
1319,MVAcc,10/9/2012,10,2012,No,No,42.34896635,-71.16176453,02135
1320,DRUG CHARGES,12/31/2012,12,2012,No,No,42.36164815,-71.05998657,02203
1321,LARCENY FROM MOTOR VEHICLE,10/17/2012,10,2012,No,No,42.37254134,-71.04017957,02128
1322,MVAcc,10/12/2012,10,2012,No,No,42.38473134,-71.01259958,02128
1323,MedAssist,11/12/2012,11,2012,No,No,42.377571,-71.02983905,02128
1324,TOWED,10/31/2012,10,2012,No,No,42.37351134,-71.06191456,02129
1325,FORGERY,11/19/2012,11,2012,No,No,42.29605136,-71.06138957,02122
1326,DRUG CHARGES,10/31/2012,10,2012,No,No,42.28486136,-71.09132455,02124
1327,RESIDENTIAL BURGLARY,9/19/2012,9,2012,No,No,42.27140636,-71.08014456,02126
1328,MVAcc,12/25/2012,12,2012,No,No,42.30750136,-71.08904956,02121
1329,LARCENY FROM MOTOR VEHICLE,12/15/2012,12,2012,No,No,42.34962635,-71.09394455,02215
1330,InvPer,9/10/2012,9,2012,No,No,42.26641636,-71.15156454,02132
1331,OTHER LARCENY,8/31/2012,8,2012,No,No,42.35943634,-71.05432456,02109
1332,VANDALISM,9/22/2012,9,2012,No,No,42.27666648,-71.12070365,02131
1333,Ballist,7/18/2012,7,2012,No,No,42.31793027,-71.08794619,02121
1334,LARCENY FROM MOTOR VEHICLE,10/3/2012,10,2012,No,No,42.31801471,-71.05404178,02125
1335,SIMPLE ASSAULT,9/21/2012,9,2012,No,No,42.34801135,-71.03687956,02210
1336,LARCENY FROM MOTOR VEHICLE,8/13/2012,8,2012,No,No,42.31457136,-71.07883956,02121
1337,FORGERY,11/1/2012,11,2012,No,No,42.26727739,-71.15200361,02132
1338,SIMPLE ASSAULT,11/14/2012,11,2012,No,No,42.26132636,-71.11230455,02136
1339,MedAssist,8/5/2012,8,2012,No,No,42.33783134,-71.02928457,02127
1340,SIMPLE ASSAULT,12/6/2012,12,2012,No,No,42.36889634,-71.03403958,02128
1341,InvPer,7/8/2012,7,2012,No,No,42.30754136,-71.07608956,02121
1342,OTHER LARCENY,11/17/2012,11,2012,No,No,42.35950634,-71.05352956,02109
1343,Gather,9/9/2012,9,2012,No,No,42.32868135,-71.10176455,02120
1344,Ballist,7/12/2012,7,2012,No,No,42.26580584,-71.09799494,02126
1345,DRUG CHARGES,7/12/2012,7,2012,No,No,42.37396134,-71.06533956,02129
1346,BENoProp,7/20/2012,7,2012,No,No,42.35138635,-71.08412456,02116
1347,VANDALISM,7/12/2012,7,2012,No,No,42.28731636,-71.15054453,02132
1348,FRAUD,9/2/2012,9,2012,No,No,42.28260136,-71.05613457,02124
1349,SIMPLE ASSAULT,7/11/2012,7,2012,No,No,42.32311635,-71.10665954,02130
1350,InvPer,7/21/2012,7,2012,No,No,42.26282136,-71.11178955,02136
1351,OTHER LARCENY,11/9/2012,11,2012,No,No,42.35333345,-71.13487402,02134
1352,MVAcc,7/26/2012,7,2012,No,No,42.27320636,-71.17058453,02132
1353,VAL,10/9/2012,10,2012,No,No,42.305758,-71.080967,02121
1354,PropLost,7/30/2012,7,2012,No,No,42.30122302,-71.16641489,02467
1355,PubDrink,11/12/2012,11,2012,No,No,42.32916135,-71.08135956,02119
1356,OTHER LARCENY,8/9/2012,8,2012,No,No,42.35794766,-71.05081372,02110
1357,PropLost,12/23/2012,12,2012,No,No,42.27516136,-71.13771454,02131
1358,PersLoc,8/2/2012,8,2012,No,No,42.2698546,-71.08260708,02126
1359,OTHER LARCENY,9/16/2012,9,2012,No,No,42.30212181,-71.06290072,02122
1360,DISORDERLY,7/20/2012,7,2012,No,No,42.32359135,-71.07618956,02119
1361,TOWED,12/7/2012,12,2012,No,No,42.31406136,-71.06178957,02125
1362,MedAssist,8/18/2012,8,2012,No,No,42.35168135,-71.12126954,02215
1363,COMMERCIAL BURGLARY,8/20/2012,8,2012,No,No,42.28396136,-71.08521456,02124
1364,OTHER LARCENY,7/8/2012,7,2012,No,No,42.35346134,-71.06419956,02108
1365,OTHER LARCENY,12/24/2012,12,2012,No,No,42.35217635,-71.08451456,02116
1366,TOWED,10/19/2012,10,2012,No,No,42.35779634,-71.05362956,02109
1367,VAL,7/27/2012,7,2012,No,No,42.33248922,-71.07179638,02118
1368,DISORDERLY,11/20/2012,11,2012,No,No,42.30542136,-71.08057956,02121
1369,RESIDENTIAL BURGLARY,12/21/2012,12,2012,No,No,42.2993368,-71.07198379,02124
1370,DRUG CHARGES,10/24/2012,10,2012,No,No,42.24524696,-71.13469031,02136
1371,MVAcc,7/12/2012,7,2012,No,No,42.35216634,-71.06737456,02116
1372,OTHER LARCENY,7/29/2012,7,2012,No,No,42.38286134,-71.03931457,02128
1373,InvProp,10/25/2012,10,2012,No,No,42.30265136,-71.11452455,02130
1374,OTHER LARCENY,10/1/2012,10,2012,No,No,42.34863064,-71.07774831,02116
1375,TOWED,8/29/2012,8,2012,No,No,42.31596135,-71.08163956,02121
1376,VANDALISM,9/12/2012,9,2012,No,No,42.24493637,-71.11621955,02136
1377,InvProp,9/24/2012,9,2012,No,No,42.37180134,-71.04216956,02128
1378,STOLEN PROPERTY CHARGES,7/12/2012,7,2012,No,No,42.32429532,-71.07035649,02119
1379,InvProp,10/2/2012,10,2012,No,No,42.25600785,-71.12180598,02136
1380,FRAUD,11/19/2012,11,2012,No,No,42.34795635,-71.13625454,02134
1381,OTHER LARCENY,12/12/2012,12,2012,No,No,42.3412472,-71.08694938,02115
1382,MVAcc,11/30/2012,11,2012,No,No,42.28633573,-71.17199159,02132
1383,MVAcc,11/24/2012,11,2012,No,No,42.35005992,-71.05679,02205
1384,PropFound,11/16/2012,11,2012,No,No,42.37124634,-71.03886957,02128
1385,MVAcc,9/10/2012,9,2012,No,No,42.33238942,-71.08135015,02119
1386,PROSTITUTION CHARGES,8/16/2012,8,2012,No,No,42.35121134,-71.07044956,02116
1387,AUTO THEFT,8/27/2012,8,2012,No,No,42.27348137,-71.10841955,02126
1388,OTHER LARCENY,8/21/2012,8,2012,No,No,42.34315135,-71.09586955,02215
1389,SIMPLE ASSAULT,11/5/2012,11,2012,No,No,42.30241135,-71.07781456,02121
1390,InvPer,7/25/2012,7,2012,No,No,42.31804621,-71.07068855,02125
1391,InvPer,10/5/2012,10,2012,No,No,42.28397159,-71.08398893,02124
1392,RESIDENTIAL BURGLARY,8/17/2012,8,2012,No,No,42.38857295,-71.008632,02128
1393,MedAssist,7/12/2012,7,2012,No,No,42.24827757,-71.11677338,02136
1394,ROBBERY,9/5/2012,9,2012,No,No,42.34412135,-71.07132956,02116
1395,InvPer,11/29/2012,11,2012,No,No,42.28079637,-71.09039953,02126
1396,MVAcc,10/30/2012,10,2012,No,No,42.34884135,-71.09091455,02215
1397,Argue,10/7/2012,10,2012,No,No,42.31986599,-71.0797171,02119
1398,InvPer,7/23/2012,7,2012,No,No,42.33315053,-71.07397769,02118
1399,VAL,9/16/2012,9,2012,No,No,42.35479135,-71.06264957,02111
1400,VAL,8/17/2012,8,2012,No,No,42.29488136,-71.08802956,02124
1401,SIMPLE ASSAULT,11/17/2012,11,2012,No,No,42.3467465,-71.14402385,02135
1402,LARCENY FROM MOTOR VEHICLE,12/15/2012,12,2012,No,No,42.33637135,-71.05237956,02127
1403,FIRE,9/25/2012,9,2012,No,No,42.28613636,-71.04053457,02122
1404,PropFound,8/9/2012,8,2012,No,No,42.35006135,-71.07737956,02116
1405,SIMPLE ASSAULT,11/2/2012,11,2012,No,No,42.34865634,-71.08256955,02199
1406,InvPer,12/20/2012,12,2012,No,No,42.24156137,-71.12524954,02136
1407,OTHER LARCENY,7/19/2012,7,2012,No,No,42.33042083,-71.08249427,02119
1408,OTHER LARCENY,11/30/2012,11,2012,No,No,42.38597185,-71.00884104,02128
1409,PersLoc,12/26/2012,12,2012,No,No,42.34474134,-71.06681456,02118
1410,VANDALISM,11/27/2012,11,2012,No,No,42.30054739,-71.06143409,02122
1411,MVAcc,8/1/2012,8,2012,No,No,42.34587135,-71.06126957,02118
1412,Arrest,8/18/2012,8,2012,No,No,42.30397135,-71.05924456,02122
1413,VANDALISM,9/6/2012,9,2012,No,No,42.33730635,-71.05259456,02127
1414,MVAcc,8/9/2012,8,2012,No,No,42.35170634,-71.06273456,02116
1415,OTHER LARCENY,11/26/2012,11,2012,No,No,42.34923635,-71.08036955,02116
1416,OTHER LARCENY,9/5/2012,9,2012,No,No,42.27799136,-71.13733954,02131
1417,MedAssist,9/14/2012,9,2012,No,No,42.35369743,-71.13850063,02134
1418,DRUG CHARGES,9/10/2012,9,2012,No,No,42.28714136,-71.14857453,02132
1419,SIMPLE ASSAULT,8/16/2012,8,2012,No,No,42.33604989,-71.1078052,02115
1420,OTHER LARCENY,9/5/2012,9,2012,No,No,42.37995134,-71.06690456,02129
1421,Service,12/6/2012,12,2012,No,No,42.34603634,-71.07050456,02116
1422,LARCENY FROM MOTOR VEHICLE,11/16/2012,11,2012,No,No,42.34412135,-71.07132956,02116
1423,DRUG CHARGES,8/9/2012,8,2012,No,No,42.3286598,-71.08561842,02119
1424,OPERATING UNDER INFLUENCE,10/15/2012,10,2012,No,No,42.33497135,-71.07142956,02118
1425,OTHER LARCENY,10/4/2012,10,2012,No,No,42.33604989,-71.1078052,02115
1426,LARCENY FROM MOTOR VEHICLE,10/9/2012,10,2012,No,No,42.31121103,-71.08915114,02121
1427,InvProp,11/13/2012,11,2012,No,No,42.33512635,-71.03993457,02127
1428,SIMPLE ASSAULT,8/15/2012,8,2012,No,No,42.28814636,-71.09006456,02124
1429,LARCENY FROM MOTOR VEHICLE,11/17/2012,11,2012,No,No,42.35654604,-71.06965059,02108
1430,InvProp,9/15/2012,9,2012,No,No,42.24981636,-71.11288455,02136
1431,Gather,10/26/2012,10,2012,No,No,42.33123135,-71.09907455,02120
1432,Landlord,8/3/2012,8,2012,No,No,42.28377636,-71.08715456,02124
1433,OTHER LARCENY,7/20/2012,7,2012,No,No,42.34938895,-71.14242987,02135
1434,LARCENY FROM MOTOR VEHICLE,9/9/2012,9,2012,No,No,42.37337073,-71.05880205,02129
1435,LARCENY FROM MOTOR VEHICLE,9/19/2012,9,2012,No,No,42.36402028,-71.11960941,02134
1436,FRAUD,8/8/2012,8,2012,No,No,42.32472934,-71.0555825,02125
1437,PersLoc,8/23/2012,8,2012,No,No,42.32003502,-71.09299654,02119
1438,InvProp,10/7/2012,10,2012,No,No,42.31532135,-71.10351955,02130
1439,VAL,10/28/2012,10,2012,No,No,42.31926669,-71.08159226,02119
1440,Landlord,12/4/2012,12,2012,No,No,42.27933637,-71.09133954,02126
1441,SIMPLE ASSAULT,7/31/2012,7,2012,No,No,42.34620635,-71.08716455,02115
1442,PropFound,11/15/2012,11,2012,No,No,42.29754136,-71.05973457,02122
1443,RESIDENTIAL BURGLARY,7/27/2012,7,2012,No,No,42.28781286,-71.10929662,02131
1444,OTHER LARCENY,12/1/2012,12,2012,No,No,42.35499132,-71.12888958,02134
1445,VAL,10/29/2012,10,2012,No,No,42.29550635,-71.08420955,02124
1446,VAL,7/16/2012,7,2012,No,No,42.29469135,-71.05274956,02122
1447,VAL,8/13/2012,8,2012,No,No,42.37918874,-71.06805583,02129
1448,MedAssist,7/18/2012,7,2012,No,No,42.26119187,-71.1597705,02132
1449,MVAcc,10/1/2012,10,2012,No,No,42.38286134,-71.03931457,02128
1450,FRAUD,9/10/2012,9,2012,No,No,42.32461303,-71.07310475,02119
1451,DISORDERLY,10/14/2012,10,2012,No,No,42.31776637,-71.04205955,02125
1452,MVAcc,12/9/2012,12,2012,No,No,42.36458134,-71.06114955,02114
1453,COMMERCIAL BURGLARY,11/19/2012,11,2012,No,No,42.34207135,-71.06609456,02118
1454,InvProp,8/24/2012,8,2012,No,No,42.37699549,-71.03230969,02128
1455,SIMPLE ASSAULT,7/26/2012,7,2012,No,No,42.31367635,-71.05703956,02125
1456,OTHER LARCENY,8/2/2012,8,2012,No,No,42.34998635,-71.08103456,02116
1457,VAL,8/3/2012,8,2012,No,No,42.30582635,-71.06261456,02122
1458,OTHER LARCENY,9/26/2012,9,2012,No,No,42.35586683,-71.05996907,02110
1459,PersLoc,8/19/2012,8,2012,No,No,42.29538451,-71.08926776,02124
1460,VANDALISM,9/28/2012,9,2012,No,No,42.33920635,-71.07202956,02118
1461,InvPer,10/21/2012,10,2012,No,No,42.28500167,-71.17015402,02132
1462,LARCENY FROM MOTOR VEHICLE,11/29/2012,11,2012,No,No,42.37299134,-71.03483457,02128
1463,OTHER LARCENY,8/26/2012,8,2012,No,No,42.31729136,-71.09678956,02119
1464,VAL,12/4/2012,12,2012,No,No,42.37000134,-71.03866957,02128
1465,Service,8/21/2012,8,2012,No,No,42.33618135,-71.07789455,02118
1466,ROBBERY,11/26/2012,11,2012,No,No,42.33311635,-71.03631457,02127
1467,AUTO THEFT,12/21/2012,12,2012,No,No,42.24632637,-71.11663453,02136
1468,MedAssist,8/8/2012,8,2012,No,No,42.37997134,-71.03924895,02128
1469,DISORDERLY,12/15/2012,12,2012,No,No,42.32851635,-71.08186956,02119
1470,Argue,11/16/2012,11,2012,No,No,42.29477135,-71.06177456,02122
1471,OTHER LARCENY,8/21/2012,8,2012,No,No,42.35164135,-71.07485456,02116
1472,VAL,7/13/2012,7,2012,No,No,42.30901619,-71.05810831,02125
1473,SIMPLE ASSAULT,12/19/2012,12,2012,No,No,42.31915635,-71.07776456,02119
1474,MedAssist,12/8/2012,12,2012,No,No,42.34101135,-71.05716456,02127
1475,InvPer,12/30/2012,12,2012,No,No,42.28079637,-71.09039953,02126
1476,RESIDENTIAL BURGLARY,7/28/2012,7,2012,No,No,42.28422136,-71.08452955,02124
1477,ROBBERY,12/19/2012,12,2012,No,No,42.31834135,-71.05464457,02125
1478,VAL,11/8/2012,11,2012,No,No,42.32834961,-71.07858581,02119
1479,MedAssist,11/25/2012,11,2012,No,No,42.27094136,-71.09191955,02126
1480,VANDALISM,9/23/2012,9,2012,No,No,42.30636135,-71.05870956,02122
1481,OTHER LARCENY,10/26/2012,10,2012,No,No,42.3629978,-71.06375465,02114
1482,LARCENY FROM MOTOR VEHICLE,7/15/2012,7,2012,No,No,42.34258135,-71.07418456,02118
1483,DRUG CHARGES,11/8/2012,11,2012,No,No,42.3286598,-71.08561842,02119
1484,ROBBERY,8/28/2012,8,2012,No,No,42.33461135,-71.07598456,02118
1485,InvPer,8/14/2012,8,2012,No,No,42.28640136,-71.04400457,02122
1486,OTHER LARCENY,7/20/2012,7,2012,No,No,42.35307228,-71.06434623,02108
1487,PubDrink,9/22/2012,9,2012,No,No,42.33105135,-71.08270956,02119
1488,CRIMES AGAINST CHILDREN,12/21/2012,12,2012,No,No,42.26701069,-71.12097728,02136
1489,VAL,12/8/2012,12,2012,No,No,42.30516136,-71.05897957,02122
1490,PhoneCalls,8/11/2012,8,2012,No,No,42.33029635,-71.08014455,02119
1491,DRUG CHARGES,8/28/2012,8,2012,No,No,42.28405295,-71.11241077,02131
1492,PropLost,8/27/2012,8,2012,No,No,42.3540441,-71.05973172,02111
1493,VAL,11/18/2012,11,2012,No,No,42.30041635,-71.07648456,02121
1494,SIMPLE ASSAULT,9/22/2012,9,2012,No,No,42.37735134,-71.05797456,02129
1495,OTHER LARCENY,12/23/2012,12,2012,No,No,42.34865634,-71.08256955,02199
1496,FRAUD,7/14/2012,7,2012,No,No,42.35302135,-71.13884953,02134
1497,RESIDENTIAL BURGLARY,8/27/2012,8,2012,No,No,42.33734635,-71.14813954,02135
1498,MVAcc,12/13/2012,12,2012,No,No,42.34908135,-71.15708953,02135
1499,MedAssist,8/2/2012,8,2012,No,No,42.38197634,-71.03476457,02128
1500,VAL,8/22/2013,8,2013,No,No,42.30999635,-71.06217956,02122
1501,InvProp,1/13/2013,1,2013,No,No,42.29780135,-71.08711955,02124
1502,InvPer,1/21/2013,1,2013,No,No,42.32538828,-71.10287429,02130
1503,DRUG CHARGES,2/28/2013,2,2013,No,No,42.32073135,-71.07405956,02125
1504,VAL,5/18/2013,5,2013,No,No,42.28278068,-71.08877995,02124
1505,VAL,1/24/2013,1,2013,No,No,42.27029137,-71.12060955,02136
1506,07RV,1/9/2013,1,2013,No,No,42.35351135,-71.13116954,02134
1507,AGGRAVATED ASSAULT,6/14/2013,6,2013,No,No,42.35073634,-71.04338956,02210
1508,VAL,10/6/2013,10,2013,No,No,42.38053134,-71.03510957,02128
1509,OPERATING UNDER INFLUENCE,6/24/2013,6,2013,No,No,42.30196135,-71.07798956,02121
1510,VAL,6/24/2013,6,2013,No,No,42.31335135,-71.08361455,02121
1511,RESIDENTIAL BURGLARY,5/10/2013,5,2013,No,No,42.33018791,-71.09358216,02119
1512,TOWED,12/9/2013,12,2013,No,No,42.34500635,-71.14808953,02135
1513,MedAssist,1/29/2013,1,2013,No,No,42.35261135,-71.07617956,02116
1514,MVAcc,3/8/2013,3,2013,No,No,42.27016136,-71.08932456,02126
1515,InvPer,4/24/2013,4,2013,No,No,42.31402964,-71.06948785,02125
1516,Argue,4/28/2013,4,2013,No,No,42.35377136,-71.16047952,02135
1517,TOWED,9/13/2013,9,2013,No,No,42.34344635,-71.07090955,02118
1518,MVAcc,8/11/2013,8,2013,No,No,42.35408635,-71.13613954,02134
1519,InvPer,9/6/2013,9,2013,No,No,42.32514135,-71.05818456,02125
1520,VAL,2/5/2013,2,2013,No,No,42.37280634,-71.05957956,02129
1521,Service,9/1/2013,9,2013,No,No,42.28317696,-71.06440483,02124
1522,PropLost,9/25/2013,9,2013,No,No,42.26678136,-71.11755955,02136
1523,VAL,2/21/2013,2,2013,No,No,42.33331135,-71.10226455,02120
1524,VANDALISM,4/28/2013,4,2013,No,No,42.34865634,-71.08256955,02199
1525,STOLEN PROPERTY CHARGES,8/11/2013,8,2013,No,No,42.32289635,-71.10209955,02130
1526,SIMPLE ASSAULT,11/24/2013,11,2013,No,No,42.29552635,-71.06154956,02122
1527,VAL,9/2/2013,9,2013,No,No,42.31576135,-71.06645456,02125
1528,SearchWarr,6/11/2013,6,2013,No,No,42.34898135,-71.15091453,02135
1529,VANDALISM,11/1/2013,11,2013,No,No,42.31012396,-71.0703108,02125
1530,MedAssist,11/22/2013,11,2013,No,No,42.35179135,-71.15241953,02135
1531,SIMPLE ASSAULT,7/3/2013,7,2013,No,No,42.32322249,-71.07643779,02119
